"sf__Id","sf__Created","Id","IsActive","Available_for_Housing__c","Available_for_Program_Engagement__c","Available_for_Case_Management__c","Available_for_Clinical__c","Available_for_Peer__c"
"0jiVY00000001fUYAQ","false","0jiVY00000001fUYAQ","false","false","false","false","false","false"
"0jiVY00000002AbYAI","false","0jiVY00000002AbYAI","false","false","false","false","false","false"
"0jiVY00000002KuYAI","false","0jiVY00000002KuYAI","false","false","false","false","false","false"
"0jiVY000000020DYAQ","false","0jiVY000000020DYAQ","false","false","false","false","false","false"
"0jiVY00000001KpYAI","false","0jiVY00000001KpYAI","false","false","false","false","false","false"
"0jiVY00000001ptYAA","false","0jiVY00000001ptYAA","false","false","false","false","false","false"
"0jiVY00000001fXYAQ","false","0jiVY00000001fXYAQ","false","false","false","false","false","false"
"0jiVY00000002AeYAI","false","0jiVY00000002AeYAI","false","false","false","false","false","false"
"0jiVY00000002jyYAA","false","0jiVY00000002jyYAA","false","false","false","false","false","false"
"0jiVY00000002KxYAI","false","0jiVY00000002KxYAI","false","false","false","false","false","false"
"0jiVY000000020GYAQ","false","0jiVY000000020GYAQ","false","false","false","false","false","false"
"0jiVY00000001KsYAI","false","0jiVY00000001KsYAI","false","false","false","false","false","false"
"0jiVY00000002d2YAA","false","0jiVY00000002d2YAA","false","false","false","false","false","false"
"0jiVY00000002d7YAA","false","0jiVY00000002d7YAA","false","false","false","false","false","false"
"0jiVY00000002kGYAQ","false","0jiVY00000002kGYAQ","false","false","false","false","false","false"
"0jiVY00000002czYAA","false","0jiVY00000002czYAA","false","false","false","false","false","false"
"0jiVY00000002kBYAQ","false","0jiVY00000002kBYAQ","false","false","false","false","false","false"
"0jiVY00000002AiYAI","false","0jiVY00000002AiYAI","false","false","false","false","false","false"
"0jiVY00000002L1YAI","false","0jiVY00000002L1YAI","false","false","false","false","false","false"
"0jiVY00000001q1YAA","false","0jiVY00000001q1YAA","false","false","false","false","false","false"
"0jiVY00000001ffYAA","false","0jiVY00000001ffYAA","false","false","false","false","false","false"
"0jiVY00000002AmYAI","false","0jiVY00000002AmYAI","false","false","false","false","false","false"
"0jiVY00000002L5YAI","false","0jiVY00000002L5YAI","false","false","false","false","false","false"
"0jiVY000000020OYAQ","false","0jiVY000000020OYAQ","false","false","false","false","false","false"
"0jiVY00000001L0YAI","false","0jiVY00000001L0YAI","false","false","false","false","false","false"
"0jiVY00000001fgYAA","false","0jiVY00000001fgYAA","false","false","false","false","false","false"
"0jiVY00000002AnYAI","false","0jiVY00000002AnYAI","false","false","false","false","false","false"
"0jiVY00000002kAYAQ","false","0jiVY00000002kAYAQ","false","false","false","false","false","false"
"0jiVY00000002L6YAI","false","0jiVY00000002L6YAI","false","false","false","false","false","false"
"0jiVY000000020PYAQ","false","0jiVY000000020PYAQ","false","false","false","false","false","false"
"0jiVY00000001L1YAI","false","0jiVY00000001L1YAI","false","false","false","false","false","false"
"0jiVY000000034LYAQ","false","0jiVY000000034LYAQ","false","false","false","false","false","false"
"0jiVY00000002d4YAA","false","0jiVY00000002d4YAA","false","false","false","false","false","false"
"0jiVY00000002d9YAA","false","0jiVY00000002d9YAA","false","false","false","false","false","false"
"0jiVY00000001KKYAY","false","0jiVY00000001KKYAY","false","false","false","false","false","false"
"0jiVY00000002kDYAQ","false","0jiVY00000002kDYAQ","false","false","false","false","false","false"
