Id,Name,Case__c,StartDate,EndDate,Status,ApplicationDate
11XVY000000bEon2AE,Accident,,2024-10-11,,Enrolled,2024-10-11
11XVY000000g0V32AI,Dickinson-2025-02-25,,2025-02-25,,Enrolled,2025-02-26
