Id,Name,NPSP_ID__c,IsActive,Available_for_Housing__c,Available_for_Program_Engagement__c,Available_for_Case_Management__c,Available_for_Clinical__c,Available_for_Peer__c
0jiVY00000002AQYAY,Chase House-Free time - Drop-In,a0e8X00000nt2t5QAA-Drop-In,true,false,false,false,false,false
0jiVY00000002KjYAI,Chase House-Free time - Outreach,a0e8X00000nt2t5QAA-Outreach,true,false,false,false,false,false
0jiVY00000001KeYAI,Chase House-Free time - TLP,a0e8X00000nt2t5QAA-TLP,true,false,false,false,false,false
0jiVY00000001KJYAY,Clinical counseling-Crisis intervention - Chase,a0e8X00000j02SVQAY-Chase,true,false,false,false,false,false
0jiVY00000001KHYAY,Clinical counseling-Crisis intervention - Shelter,a0e8X00000j02SVQAY-Shelter,true,false,false,false,false,false
0jiVY00000001fKYAQ,Clinical counseling-Family therapy - Chase,a0e8X00000j02SLQAY-Chase,true,false,false,false,false,false
0jiVY00000001tcYAA,Clinical counseling-Family therapy - Shelter,a0e8X00000j02SLQAY-Shelter,true,false,false,false,false,false
0jiVY00000001phYAA,Clinical counseling-Group substance use support - 1440,a0e61000002QyaGAAS-1440,true,false,false,false,false,false
0jiVY00000001fLYAQ,Clinical counseling-Group substance use support - Chase,a0e61000002QyaGAAS-Chase,true,false,false,false,false,false
0jiVY00000002ASYAY,Clinical counseling-Group substance use support - Drop-In,a0e61000002QyaGAAS-Drop-In,true,false,false,false,false,false
0jiVY00000002KlYAI,Clinical counseling-Group substance use support - Outreach,a0e61000002QyaGAAS-Outreach,true,false,false,false,false,false
0jiVY00000001tdYAA,Clinical counseling-Group substance use support - Shelter,a0e61000002QyaGAAS-Shelter,true,false,false,false,false,false
0jiVY00000001piYAA,Clinical counseling-Group therapy - 1440,a0e4M00000ILiGBQA1-1440,true,false,false,false,false,false
0jiVY00000001fMYAQ,Clinical counseling-Group therapy - Chase,a0e4M00000ILiGBQA1-Chase,true,false,false,false,false,false
0jiVY00000002ATYAY,Clinical counseling-Group therapy - Drop-In,a0e4M00000ILiGBQA1-Drop-In,true,false,false,false,false,false
0jiVY00000002jSYAQ,Clinical counseling-Group therapy - Nest 56,a0e4M00000ILiGBQA1-Nest 56,true,false,false,false,false,false
0jiVY00000002KmYAI,Clinical counseling-Group therapy - Outreach,a0e4M00000ILiGBQA1-Outreach,true,false,false,false,false,false
0jiVY00000001teYAA,Clinical counseling-Group therapy - Shelter,a0e4M00000ILiGBQA1-Shelter,true,false,false,false,false,false
0jiVY00000001KhYAI,Clinical counseling-Group therapy - TLP,a0e4M00000ILiGBQA1-TLP,true,false,false,false,false,false
0jiVY00000001pjYAA,Clinical counseling-Individual session - 1440,a0e8X00000j02SQQAY-1440,true,false,false,false,false,false
0jiVY00000001fNYAQ,Clinical counseling-Individual session - Chase,a0e8X00000j02SQQAY-Chase,true,false,false,false,false,false
0jiVY00000002AUYAY,Clinical counseling-Individual session - Drop-In,a0e8X00000j02SQQAY-Drop-In,true,false,false,false,false,false
0jiVY00000002jvYAA,Clinical counseling-Individual session - Nest 56,a0e8X00000j02SQQAY-Nest 56,true,false,false,false,false,false
0jiVY00000002KnYAI,Clinical counseling-Individual session - Outreach,a0e8X00000j02SQQAY-Outreach,true,false,false,false,false,false
0jiVY00000001tfYAA,Clinical counseling-Individual session - Shelter,a0e8X00000j02SQQAY-Shelter,true,false,false,false,false,false
0jiVY00000001KiYAI,Clinical counseling-Individual session - TLP,a0e8X00000j02SQQAY-TLP,true,false,false,false,false,false
0jiVY00000001pkYAA,Clinical counseling-Mental health check-in - 1440,a0e61000002wmcUAAQ-1440,true,false,false,false,false,false
0jiVY00000001fOYAQ,Clinical counseling-Mental health check-in - Chase,a0e61000002wmcUAAQ-Chase,true,false,false,false,false,false
0jiVY00000002AVYAY,Clinical counseling-Mental health check-in - Drop-In,a0e61000002wmcUAAQ-Drop-In,true,false,false,false,false,false
0jiVY00000002jfYAA,Clinical counseling-Mental health check-in - Nest 56,a0e61000002wmcUAAQ-Nest 56,true,false,false,false,false,false
0jiVY00000002KoYAI,Clinical counseling-Mental health check-in - Outreach,a0e61000002wmcUAAQ-Outreach,true,false,false,false,false,false
0jiVY00000001tgYAA,Clinical counseling-Mental health check-in - Shelter,a0e61000002wmcUAAQ-Shelter,true,false,false,false,false,false
0jiVY00000001KjYAI,Clinical counseling-Mental health check-in - TLP,a0e61000002wmcUAAQ-TLP,true,false,false,false,false,false
0jiVY00000002KpYAI,Clinical Referral - Outreach,a0e4M00000I79p5QAB-Outreach,true,false,false,false,false,false
0jiVY00000003AnYAI,CMC Check In,,true,false,false,false,false,false
0jiVY00000001pmYAA,Community Clean Up - 1440,a0e4M00000IMcElQAL-1440,true,false,false,false,false,false
0jiVY00000001tiYAA,Community Clean Up - Shelter,a0e4M00000IMcElQAL-Shelter,true,false,false,false,false,false
0jiVY00000002xtYAA,Community Group- Rooted 303,,true,false,false,false,false,false
0jiVY000000035xYAA,Community Partner Referral,,true,false,false,false,false,false
0jiVY0000000318YAA,Community Resource Navigation,,true,false,false,false,false,false
0jiVY00000002oDYAQ,Community- Chase House,,true,false,false,false,false,false
0jiVY00000001ppYAA,Conflict resolution general support - 1440,a0e8X00000mHgztQAC-1440,true,false,false,false,false,false
0jiVY00000001fTYAQ,Conflict resolution general support - Chase,a0e8X00000mHgztQAC-Chase,true,false,false,false,false,false
0jiVY00000002AaYAI,Conflict resolution general support - Drop-In,a0e8X00000mHgztQAC-Drop-In,true,false,false,false,false,false
0jiVY00000002jxYAA,Conflict resolution general support - Nest 56,a0e8X00000mHgztQAC-Nest 56,true,false,false,false,false,false
0jiVY00000002KtYAI,Conflict resolution general support - Outreach,a0e8X00000mHgztQAC-Outreach,true,false,false,false,false,false
0jiVY000000020CYAQ,Conflict resolution general support - Shelter,a0e8X00000mHgztQAC-Shelter,true,false,false,false,false,false
0jiVY00000001KoYAI,Conflict resolution general support - TLP,a0e8X00000mHgztQAC-TLP,true,false,false,false,false,false
0jiVY00000001pqYAA,Conflict resolution or mediation training (formal training) - 1440,a0e8X00000mHgzoQAC-1440,true,false,false,false,false,false
0jiVY00000001fUYAQ,Conflict resolution or mediation training (formal training) - Chase,a0e8X00000mHgzoQAC-Chase,true,false,false,false,false,false
0jiVY00000002AbYAI,Conflict resolution or mediation training (formal training) - Drop-In,a0e8X00000mHgzoQAC-Drop-In,true,false,false,false,false,false
0jiVY00000002KuYAI,Conflict resolution or mediation training (formal training) - Outreach,a0e8X00000mHgzoQAC-Outreach,true,false,false,false,false,false
0jiVY000000020DYAQ,Conflict resolution or mediation training (formal training) - Shelter,a0e8X00000mHgzoQAC-Shelter,true,false,false,false,false,false
0jiVY00000001KpYAI,Conflict resolution or mediation training (formal training) - TLP,a0e8X00000mHgzoQAC-TLP,true,false,false,false,false,false
0jiVY00000001ptYAA,Cooking/meal preparation support - 1440,a0e8X00000mHgzyQAC-1440,true,false,false,false,false,false
0jiVY00000001fXYAQ,Cooking/meal preparation support - Chase,a0e8X00000mHgzyQAC-Chase,true,false,false,false,false,false
0jiVY00000002AeYAI,Cooking/meal preparation support - Drop-In,a0e8X00000mHgzyQAC-Drop-In,true,false,false,false,false,false
0jiVY00000002jyYAA,Cooking/meal preparation support - Nest 56,a0e8X00000mHgzyQAC-Nest 56,true,false,false,false,false,false
0jiVY00000002KxYAI,Cooking/meal preparation support - Outreach,a0e8X00000mHgzyQAC-Outreach,true,false,false,false,false,false
0jiVY000000020GYAQ,Cooking/meal preparation support - Shelter,a0e8X00000mHgzyQAC-Shelter,true,false,false,false,false,false
0jiVY00000001KsYAI,Cooking/meal preparation support - TLP,a0e8X00000mHgzyQAC-TLP,true,false,false,false,false,false
0jiVY00000002d2YAA,Creative Expression Activity - 1440,a0e61000003gImyAAE-1440,true,false,false,false,false,false
0jiVY00000002d7YAA,Creative Expression Activity - Drop-In,a0e61000003gImyAAE-Drop-In,true,false,false,false,false,false
0jiVY00000002kGYAQ,Creative Expression Activity - Outreach,a0e61000003gImyAAE-Outreach,true,false,false,false,false,false
0jiVY00000002czYAA,Creative Expression Activity - Shelter,a0e61000003gImyAAE-Shelter,true,false,false,false,false,false
0jiVY00000002kBYAQ,Creative Expression Activity - TLP,a0e61000003gImyAAE-TLP,true,false,false,false,false,false
0jiVY00000002AiYAI,Deacons Closet Referral - Drop-In,a0e4M00000I79ovQAB-Drop-In,true,false,false,false,false,false
0jiVY00000002L1YAI,Deacons Closet Referral - Outreach,a0e4M00000I79ovQAB-Outreach,true,false,false,false,false,false
0jiVY00000001q1YAA,Drop-in Facility Use - 1440,a0eUY000001pWuwYAE-1440,true,false,false,false,false,false
0jiVY00000001ffYAA,Drop-in Facility Use - Chase,a0eUY000001pWuwYAE-Chase,true,false,false,false,false,false
0jiVY00000002AmYAI,Drop-in Facility Use - Drop-In,a0eUY000001pWuwYAE-Drop-In,true,false,false,false,false,false
0jiVY00000002L5YAI,Drop-in Facility Use - Outreach,a0eUY000001pWuwYAE-Outreach,true,false,false,false,false,false
0jiVY000000020OYAQ,Drop-in Facility Use - Shelter,a0eUY000001pWuwYAE-Shelter,true,false,false,false,false,false
0jiVY00000001L0YAI,Drop-in Facility Use - TLP,a0eUY000001pWuwYAE-TLP,true,false,false,false,false,false
0jiVY00000001fgYAA,Drop-in Mail Pickup - Chase,a0eUY000001pedxYAA-Chase,true,false,false,false,false,false
0jiVY00000002AnYAI,Drop-in Mail Pickup - Drop-In,a0eUY000001pedxYAA-Drop-In,true,false,false,false,false,false
0jiVY00000002kAYAQ,Drop-in Mail Pickup - Nest 56,a0eUY000001pedxYAA-Nest 56,true,false,false,false,false,false
0jiVY00000002L6YAI,Drop-in Mail Pickup - Outreach,a0eUY000001pedxYAA-Outreach,true,false,false,false,false,false
0jiVY000000020PYAQ,Drop-in Mail Pickup - Shelter,a0eUY000001pedxYAA-Shelter,true,false,false,false,false,false
0jiVY00000001L1YAI,Drop-in Mail Pickup - TLP,a0eUY000001pedxYAA-TLP,true,false,false,false,false,false
0jiVY000000034LYAQ,Education- GED Class Attendance,,true,false,false,false,false,false
0jiVY00000002d4YAA,Education-GED testing - 1440,a0e61000007cQleAAE-1440,true,false,false,false,false,false
0jiVY00000002d9YAA,Education-GED testing - Drop-In,a0e61000007cQleAAE-Drop-In,true,false,false,false,false,false
0jiVY00000001KKYAY,Education-GED testing - Shelter,a0e61000007cQleAAE-Shelter,true,false,false,false,false,false
0jiVY00000002kDYAQ,Education-GED testing - TLP,a0e61000007cQleAAE-TLP,true,false,false,false,false,false
0jiVY00000001q5YAA,Education-GED tutoring or homework - 1440,a0e61000004bzyuAAA-1440,true,false,false,false,false,false
0jiVY00000001fjYAA,Education-GED tutoring or homework - Chase,a0e61000004bzyuAAA-Chase,true,false,false,false,false,false
0jiVY00000002AqYAI,Education-GED tutoring or homework - Drop-In,a0e61000004bzyuAAA-Drop-In,true,false,false,false,false,false
0jiVY00000002L9YAI,Education-GED tutoring or homework - Outreach,a0e61000004bzyuAAA-Outreach,true,false,false,false,false,false
0jiVY000000020SYAQ,Education-GED tutoring or homework - Shelter,a0e61000004bzyuAAA-Shelter,true,false,false,false,false,false
