Id,Name,ProgramId,Available_for_Clinical__c,Available_for_Peer__c,Available_for_Case_Management__c,IsActive
0jiRT0000000Y4vYAE,Drop-In Day,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000Y9lYAE,BIPOC Support,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000Y9mYAE,Bus pass,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000Y9nYAE,Community Engagement,11WVY000000GC6r2AG,true,false,false,true
0jiRT0000000Y9oYAE,Community Resource Navigation,11WVY000000GC6r2AG,false,true,true,true
0jiRT0000000Y9pYAE,Education,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000Y9qYAE,Education Support,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000Y9rYAE,"Emergency Service Coordination (STAR, Emergency Room/ Urgent Care support)",11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000Y9sYAE,Employment Support,11WVY000000GC6r2AG,false,true,true,true
0jiRT0000000Y9tYAE,Eviction/ Mutual Rescission Support,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000Y9uYAE,External Professional Team,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000Y9vYAE,External Therapy Provider,11WVY000000GC6r2AG,true,false,true,true
0jiRT0000000Y9wYAE,Family Reunification Support,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000Y9xYAE,Financial Education and Navigation,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000Y9yYAE,Food Access,11WVY000000GC6r2AG,false,true,true,true
0jiRT0000000Y9zYAE,GED Group,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000YA0YAM,Group Support,11WVY000000GC6r2AG,true,false,false,true
0jiRT0000000YA1YAM,Housekeeping,11WVY000000GC6r2AG,false,true,true,true
0jiRT0000000YA2YAM,Initial Planning Meeting (goal setting),11WVY000000GC6r2AG,false,true,true,true
0jiRT0000000YA3YAM,Lease Violation Meeting,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000YA4YAM,Legal Support,11WVY000000GC6r2AG,false,true,true,true
0jiRT0000000YA5YAM,LGBTQIA Support,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000YA6YAM,Life Skills Group,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000YA7YAM,"Medical, Legal, or Employment",11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000YA8YAM,Mental Health,11WVY000000GC6r2AG,true,false,true,true
0jiRT0000000YA9YAM,Move Out Assistance,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000YAAYA2,Other supports,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000YABYA2,Parenting Support,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000YACYA2,Peer Support,11WVY000000GC6r2AG,false,true,false,true
0jiRT0000000YADYA2,Physical Health,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000YAEYA2,Police Interaction- Arrest,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000YAFYA2,Police Interaction- General Support,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000YAGYA2,Pre-Lease Violation Support,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000YAHYA2,Public Benefits Support,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000YAIYA2,Rental Assistance with Budget,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000YAJYA2,Resident Advisory Council,11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000YAKYA2,Tenant Retention Plan,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000YALYA2,Therapeutic Group,11WVY000000GC6r2AG,true,false,false,true
0jiRT0000000YAMYA2,Updates and Progress (goal setting),11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000YANYA2,Vital Document Support,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000YAOYA2,Voucher Support,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000YAPYA2,"Wellness, Mental Health, Mindfulness and Meditation Group",11WVY000000GC6r2AG,true,true,true,true
0jiRT0000000YBNYA2,External Medical Provider,11WVY000000GC6r2AG,false,false,true,true
0jiRT0000000YBOYA2,Peer Support Group,11WVY000000GC6r2AG,false,true,false,true
0jiRT0000000b7dYAA,BIPOC Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7eYAA,Bus pass,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7fYAA,Case Management Meeting,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7gYAA,Community Engagement,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7hYAA,Community Resource Navigation,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7iYAA,Conflict Resolution Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7jYAA,Education,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7kYAA,Education Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7lYAA,"Emergency Service Coordination (STAR, Emergency Room/ Urgent Care support)",11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7mYAA,Emotional Processing,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7nYAA,Employment Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7oYAA,Eviction/ Mutual Rescission Support,11WRT0000017pV32AI,false,false,false,true
0jiRT0000000b7pYAA,External Medical Provider,11WRT0000017pV32AI,false,false,false,true
