Id,ProgramId,AccountId,ContactId,Case__c,StartDate,EndDate,Status,ApplicationDate
11XVY000000bEon2AE,11WVY000000GC212AG,,,,2024-10-11,,Enrolled,2024-10-11
11XVY000000g0V32AI,11WVY000000GC212AG,,,,2025-02-25,,Enrolled,2025-02-26
