Id,Name,ProgramId,IsActive
0jiVY00000001qhYAA,Group Service-Life Skills - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qiYAA,Group service-Peer support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qjYAA,Group service-Prosocial or recreational activity on-site - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qkYAA,Group service-Sexual health support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qlYAA,Group service-Tenant association - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qmYAA,Group- Public Service - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qnYAA,Group- Recovery - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qoYAA,Group-Employment - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qpYAA,Group-Mental Health - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qqYAA,Harm Reduction Kit - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qrYAA,Harvest of Hope Referral - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qsYAA,Health First Colorado Referral - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qtYAA,Health-First aid or hygiene supply provided - 1440,11WVY000000GC6r2AG,false
0jiVY00000001quYAA,Health-General sexual health support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qvYAA,Health-Medical appointment-Offsite - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qwYAA,Health-Medical appointment-Onsite - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qxYAA,"Hep C Kits (condoms, lube, etc) - 1440",11WVY000000GC6r2AG,false
0jiVY00000001qyYAA,Hitchhikers Guide to Safe Sex - 1440,11WVY000000GC6r2AG,false
0jiVY00000001qzYAA,HIV/HEP C Testing - 1440,11WVY000000GC6r2AG,false
0jiVY00000001r0YAA,"Homelessness/Crisis (BCC, Feeds, etc) Referral - 1440",11WVY000000GC6r2AG,false
0jiVY00000001r4YAA,Housing - 1440,11WVY000000GC6r2AG,false
0jiVY00000001r5YAA,Housing application support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001r6YAA,Housing Referral - 1440,11WVY000000GC6r2AG,false
0jiVY00000001r7YAA,Housing search support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001r8YAA,Housing-Apartment maintenance/hygiene support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001r9YAA,Housing-Landlord interview or visit support - 1440,11WVY000000GC6r2AG,false
0jiVY00000001rAYAQ,Housing-Lease education - 1440,11WVY000000GC6r2AG,false
